,Item,All consumer units,Lowest 20 percent,Second 20 percent,Third 20 percent,Fourth 20 percent,Highest 20 percent,Total expenditure
0,Food,7203.16,3861.63,4978.29,6223.92,8435.86,12513.09,43215.95
1,Alcoholic beverages,483.92,157.73,260.84,349.95,568.81,1082.0,2903.25
2,Housing,18885.75,10267.07,13551.71,16315.23,20687.24,33653.4,113360.4
3,Apparel and services,1802.7,860.48,1163.57,1519.21,1959.14,3511.31,10816.41
4,Transportation,9049.35,3767.46,5992.15,8464.07,10931.04,16114.23,54318.3
5,Healthcare,4611.74,2155.71,3528.01,4266.24,5441.55,7676.84,27680.09
6,Entertainment,2912.78,1146.29,1783.09,2344.28,3408.94,5887.75,17483.13
7,Personal care products and services,706.71,333.43,489.75,569.42,777.39,1364.33,4241.03
8,Reading,117.9,64.38,85.67,96.26,114.66,228.68,707.55
9,Education,1328.71,681.37,758.7,617.67,988.18,3604.86,7979.49
10,Tobacco products and smoking supplies,337.22,304.57,334.86,361.6,382.52,302.43,2023.2
11,Miscellaneous,959.5,335.73,646.22,1007.94,1062.41,1747.55,5759.35
12,Cash contributions,2080.85,557.97,1430.91,1301.49,1890.54,5232.59,12494.349999999999
13,Personal insurance and pensions,6830.86,644.57,1766.42,4227.2,8261.58,19302.4,41033.03
