Item,"Lowest
20
percent"
Rent,4005.67
Gasoline,842.7
Property taxes,714.12
Vehicle insurance*,661.18
Electricity (owned home),565.35
Medicare payments,539.25
Mortgage interest,528.17
College tuition,496.93
Cable and satellite television services,495.25
Cellular phone service,489.25
Used trucks,475.83
Electricity (renter),434.1
Used cars,366.76
Deductions for Social Security,297.98
Cigarettes,277.19
Dinner at full service restaurants*,273.3
"Cash contributions to church, religious organizations",254.76
New trucks,253.04
Non-payroll deposit to retirement plans,249.72
"Dinner at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",239.13
Computer information services (internet),225.56
Rent as pay,224.59
"Lunch at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",223.26
Residential telephone including VOIP,219.29
New cars,209.22
Health maintenance organization (not BCBS),190.92
Homeowners insurance,190.79
Prescription drugs,187.82
Other lodging,169.28
Fee for service health plan (not BCBS),164.94
Lunch at full service restaurants*,161.77
Water/sewer maint. (owned home),153.11
Fee for service health plan (BCBS),144.09
Utility-natural gas (owned home),132.42
Personal care services,128.2
Dental services,124.3
Lodging on out-of-town trips,123.78
Other cash gifts,123.69
Medicare prescription drug premium,121.0
Other repair and maintenance services,120.1
Pet food*,113.47
Airline fares,106.99
Commercial medicare supplement (not BCBS),106.44
Miscellaneous prepared foods*,103.15
Women's footwear*,102.66
"Breakfast and brunch at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",96.14
Health maintenance organization (BCBS),94.6
"Care for elderly, invalids, handicapped, etc",92.03
"Finance, late, interest charges for credit cards",88.13
Vehicle or engine repairs,85.9
