Item,"Fourth
20
percent"
Deductions for Social Security,5951.77
Rent,3724.96
Mortgage interest,3592.48
Gasoline,2223.68
Property taxes,2196.09
Vehicle insurance*,1505.29
Cellular phone service,1453.38
Used trucks,1429.81
Electricity (owned home),1212.28
New trucks,1159.39
Non-payroll deposit to retirement plans,1063.06
Dinner at full service restaurants*,974.66
Used cars,894.49
Cable and satellite television services,870.86
Health maintenance organization (not BCBS),866.09
Fee for service health plan (BCBS),803.9
New cars,798.99
Fee for service health plan (not BCBS),790.42
"Cash contributions to church, religious organizations",788.08
Other lodging,736.09
Deductions for private pensions,704.99
Health maintenance organization (BCBS),549.95
Computer information services (internet),545.17
"Lunch at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",505.86
"Dinner at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",500.19
Homeowners insurance,492.79
College tuition,488.91
Lodging on out-of-town trips,477.72
Other cash gifts,451.75
Lunch at full service restaurants*,450.71
Water/sewer maint. (owned home),392.28
Medicare payments,390.37
"Finance, late, interest charges for credit cards",389.24
Airline fares,378.55
Personal care services,376.93
Electricity (renter),337.83
Food on out-of-town trips,333.33
Cigarettes,326.71
Dental services,317.25
Prescription drugs,308.67
Utility-natural gas (owned home),305.67
Vet services*,304.24
"Day care centers, nursery, and preschools",298.3
"Life, endowment, annuity, other personal insurance",297.53
Residential telephone including VOIP,292.39
Other repair and maintenance services,292.11
Car/truck lease payments,282.53
Child support expenditures,270.62
Physician's services,258.94
Pet food*,250.32
